region,segment_name,buyers,avg_purchase_count,avg_total_spend
Novosibirsk,Core Growth Buyers,1,3.0,1006584.7
Novosibirsk,Financed Value Seekers,2,3.5,942181.02
Novosibirsk,Premium Buyers,2,4.5,1537947.73
Nuevo Leon,Core Growth Buyers,3,3.33,937249.66
Nuevo Leon,Financed Value Seekers,2,4.0,1290798.68
Nuevo Leon,Premium Buyers,5,3.4,1392578.23
Occitanie,Core Growth Buyers,2,3.5,1299464.44
Occitanie,Financed Value Seekers,4,3.25,976677.73
Occitanie,Premium Buyers,2,3.0,1388059.96
Ohio,Core Growth Buyers,4,3.5,1091233.86
Ohio,Financed Value Seekers,10,3.5,934077.37
Ohio,Premium Buyers,10,3.4,1375315.16
Ontario,Core Growth Buyers,3,3.67,1198604.15
Ontario,Financed Value Seekers,4,3.25,1005517.5
Ontario,Premium Buyers,2,3.5,1302641.75
Oregon,Core Growth Buyers,16,3.25,1120555.91
Oregon,Financed Value Seekers,35,3.57,1049025.97
Oregon,Portfolio Investors,3,7.0,2316997.48
Oregon,Premium Buyers,42,3.81,1441932.2
Provence,Core Growth Buyers,2,3.5,1174974.0
Provence,Financed Value Seekers,7,3.71,1074475.66
Provence,Premium Buyers,1,3.0,1093080.86
Puebla,Core Growth Buyers,1,4.0,1161022.51
Puebla,Financed Value Seekers,5,3.4,1019559.61
Puebla,Premium Buyers,1,3.0,1231356.24
Quebec,Core Growth Buyers,5,3.2,1102037.12
Quebec,Financed Value Seekers,4,3.75,1131033.06
Quebec,Portfolio Investors,1,11.0,3251147.83
Quebec,Premium Buyers,4,3.75,1501038.52
Queensland,Financed Value Seekers,4,3.5,926238.69
Saint Petersburg,Core Growth Buyers,3,3.33,1199508.25
Saint Petersburg,Financed Value Seekers,3,4.0,978586.91
Saint Petersburg,Premium Buyers,4,3.5,1540718.82
Scotland,Core Growth Buyers,3,3.0,957421.15
Scotland,Financed Value Seekers,9,3.78,1104505.3
Scotland,Portfolio Investors,2,7.5,2817066.79
Scotland,Premium Buyers,11,3.55,1426033.03
South Australia,Core Growth Buyers,1,3.0,1069904.1
South Australia,Premium Buyers,2,3.5,1417087.76
Southern Denmark,Premium Buyers,3,3.33,1359660.77
Tatarstan,Financed Value Seekers,3,4.0,1167824.96
Tatarstan,Premium Buyers,5,3.2,1378302.24
Texas,Core Growth Buyers,12,3.25,1021741.64
Texas,Financed Value Seekers,22,3.5,1048813.0
Texas,Portfolio Investors,1,7.0,2047189.62
Texas,Premium Buyers,21,3.52,1416686.03
Utah,Core Growth Buyers,8,3.38,1238062.95
Utah,Financed Value Seekers,39,3.46,994531.28
Utah,Premium Buyers,40,3.7,1459390.25
Victoria,Core Growth Buyers,2,3.5,882995.78
Victoria,Financed Value Seekers,5,3.6,1053997.96
Victoria,Premium Buyers,6,3.67,1517153.02
Virginia,Core Growth Buyers,21,3.24,1156072.82
Virginia,Financed Value Seekers,21,3.43,1039859.03
Virginia,Portfolio Investors,4,7.5,2576469.81
Virginia,Premium Buyers,19,3.42,1374765.18
Wales,Core Growth Buyers,2,3.5,1364285.22
Wales,Financed Value Seekers,7,3.57,991240.73
Wales,Premium Buyers,8,3.38,1371342.9
Wallonia,Core Growth Buyers,3,3.33,1056474.58
Wallonia,Financed Value Seekers,6,3.5,1084432.19
Wallonia,Premium Buyers,6,3.83,1410116.56
Washington,Core Growth Buyers,12,3.17,1157547.31
Washington,Financed Value Seekers,26,3.27,966157.9
Washington,Premium Buyers,35,3.46,1375047.17
Western Australia,Core Growth Buyers,2,3.5,1406818.2
Western Australia,Financed Value Seekers,4,3.25,969967.44
Wyoming,Premium Buyers,1,5.0,1762231.92
Zealand,Financed Value Seekers,1,3.0,682452.64
Zealand,Premium Buyers,1,4.0,1576416.87
